antonym_1 antonym_2 example_antonym_1 example_antonym_2 def1 def2
Positiv Negativ "Er hatte eine positive Einstellung zum Leben. Positiv zu denken ist sehr wichtig. Ich bin sehr positiv bezüglich des Vorstellungsgesprächs eingestellt. Das positive Feedback steigerte sein Selbstvertrauen. Die positive Einstellung des Teams trug zu ihrem Erfolg bei. ","Sie äußerte eine negative Meinung über den Vorschlag. Seine negative Einstellung gefiel mir nicht. Die negative Auswirkung der Entscheidung war offensichtlich. Ihre negativen Bemerkungen beeinflussten die Team-Moral. Seine negative Lebenseinstellung beeinflusste diejenigen um ihn herum. ","Ausdruck von Zustimmung  Wohlwollen oder Zuversicht; zeigt eine günstige Haltung oder Perspektive ","Ausdruck von Missbilligung  Unzufriedenheit oder Pessimismus; zeigt eine ungünstige Haltung oder Perspektive"
Freude Leid "Die Freude in seinem Gesicht war offensichtlich. Das Lachen der Kinder erfüllte den Raum mit Freude. Sie konnte nicht anders  als Freude über die Nachricht ihrer Beförderung zu empfinden. Die Freude  ihr Ziel erreicht zu haben  war unvergleichlich. ","Sie konnte ihre Trauer nach dem Verlust nicht verbergen. Die traurige Melodie brachte Tränen in ihre Augen. Sein Gesicht zeigte tiefe Trauer  als er sich von seinem besten Freund verabschiedete. Ihre Trauer hielt tagelang an und machte es schwer  damit umzugehen. ","Ein Gefühl von großem Vergnügen  Glück oder Freude; eine Emotion  die mit positiven Erfahrungen verbunden ist ","Ein Gefühl von tiefer Verzweiflung  Traurigkeit oder Leid; eine Emotion  die mit negativen Erfahrungen verbunden ist"
Liebe Hass "Sie waren tief verliebt. Liebe ist die mächtigste Emotion. Sie drückte ihre Liebe zu ihm in einem herzlichen Brief aus. Ihre Liebe zueinander wurde mit jedem Tag stärker. ","Er konnte seinen Hass gegenüber seinem Rivalen nicht verbergen. Seine wortreichen Worte stachen wie eine giftige Schlange. Hass bringt nur mehr Hass  keine Verständigung. Der Hass zwischen den beiden Familien bestand lange Zeit. ","Ein intensives Gefühl von Zuneigung  Fürsorge und Bindung zu jemandem oder etwas ","Ein starkes Gefühl von Feindseligkeit  Abneigung oder intensiver Abneigung gegenüber jemandem oder etwas"
Hoffnung Verzweiflung "Sie klammerte sich in schweren Zeiten an die Hoffnung. Die Hoffnung auf ein besseres Morgen hielt sie aufrecht. Trotz der Herausforderungen blieb die Hoffnung ihr Leitlicht. Die Hoffnung auf Heilung brachte den Patienten Optimismus. ","Er fühlte sich nach dem Misserfolg verzweifelt. Das überwältigende Gefühl der Verzweiflung übermannte ihn. Die Nachricht von der Tragödie hinterließ bei allen einen Zustand der Verzweiflung. Das Gefühl der Verzweiflung war in ihren Augen erkennbar. ","Ein Gefühl von Optimismus und Erwartung für ein positives Ergebnis oder ein zukünftiges Ereignis ","Ein Gefühl von völliger Hoffnungslosigkeit  Glaubensverlust oder völligem Mangel an Hoffnung"
Selbstvertrauen Zweifel "Er sprach selbstbewusst während der Präsentation. Sein Vertrauen in seine Fähigkeiten war bewundernswert. Sie konnte nicht anders  als nach dem Erfolg ihres Projekts ein Selbstvertrauen zu spüren. Das Selbstvertrauen des Leaders inspirierte das Team. ","Sie zweifelte an ihrer Fähigkeit  die Aufgabe abzuschließen. Zweifel krochen in ihren Geist  als sie den Herausforderungen entgegensah. Sein Zweifel am Plan war an seinen zögerlichen Ausdrücken erkennbar. Der Zweifel an der Effektivität des Produkts beeinträchtigte den Verkauf. ","Ein Glaube an die eigenen Fähigkeiten oder die Fähigkeiten von jemand anderem  Gewissheit oder Selbstsicherheit ","Ein Mangel an Sicherheit  Verdacht oder Skepsis gegenüber einer Person  Situation oder einem Ergebnis"
Vergnügen Schmerz "Das Essen bereitete ihm großes Vergnügen. Ein gemütlicher Spaziergang erfüllte sie mit Vergnügen. Trotz des Schmerzes lächelte er durch die Tränen. Das Vergnügen  einen persönlichen Meilenstein zu erreichen  war unermesslich. ","Er zuckte vor Schmerz zusammen  als er sich den Zeh stieß. Der scharfe Schmerz schoss durch sein Bein. Der Schmerz des Verlusts war unerträglich. Der Schmerz in ihrem Herzen spiegelte sich in ihren Augen wider. ","Ein Gefühl von Genuss  Zufriedenheit oder Freude  das aus einer positiven Erfahrung resultiert ","Eine physische oder emotionale Empfindung von Unbehagen  Leiden oder Not"
Optimismus Pessimismus "Trotz der Herausforderungen blieb sie optimistisch. Optimismus ist der Schlüssel zur Überwindung von Hindernissen. Sein Pessimismus führte oft zu negativen Ergebnissen. Pessimismus kann sich selbst erfüllende Prophezeiungen sein. Der optimistische Ausblick des Teams stärkte ihre Moral. ","Sein Pessimismus führte oft zu negativen Ergebnissen. Pessimismus kann sich selbst erfüllende Prophezeiungen sein. Trotz der Herausforderungen blieb sie optimistisch. Optimismus ist der Schlüssel zur Überwindung von Hindernissen. Die pessimistische Sicht auf die Situation führte zu mangelnder Handlung. ","Eine positive Denkweise  die günstige Ergebnisse erwartet und das Beste in jeder Situation sucht ","Eine negative Denkweise  die ungünstige Ergebnisse erwartet und sich auf die schlechtesten Aspekte einer Situation konzentriert"
Aufregung Gleichgültigkeit "Er konnte seine Aufregung über die Reise nicht zurückhalten. Die Aufregung in der Luft war spürbar. Sie empfand Gleichgültigkeit gegenüber der Veranstaltung. Gleichgültigkeit gegenüber wichtigen Angelegenheiten kann zu schwerwiegenden Folgen führen. Die Aufregung des Produktstarts war ansteckend. ","Ein Gefühl von Enthusiasmus  Eifer oder intensivem Interesse an etwas ","Ein Mangel an Interesse  Begeisterung oder Besorgnis; ein Gefühl der Gleichgültigkeit oder Desinteresse"
Freundlichkeit Grausamkeit "Ihre Freundlichkeit gegenüber anderen wurde bewundert. Freundlichkeit kann selbst die dunkelsten Tage erhellen. Er war für seine Grausamkeit gegenüber Tieren bekannt. Grausamkeit gegenüber jeglichen Lebewesen ist inakzeptabel. Ihre Freundlichkeit gegenüber den Obdachlosen berührte viele Herzen. ","Zeigt Wohlwollen  Mitgefühl oder Wohlwollen gegenüber anderen ","Zeigt Gleichgültigkeit  Bosheit oder Bereitschaft  anderen Schaden zuzufügen"
Mut Angst "Er zeigte Mut angesichts der Gefahr. Mut ist nicht das Fehlen von Angst  sondern die Stärke  ihr ins Auge zu sehen. Ihre Angst vor Höhen hinderte sie daran  die Leiter zu erklimmen. Die Überwindung von Angst ist ein mutiger Akt. Sein Mut inspirierte andere  für das Richtige einzustehen. ","Die Fähigkeit  Gefahr  Schwierigkeiten oder Schmerz zu meistern  ohne von Angst überwältigt zu werden ","Eine unangenehme Emotion  die durch den Glauben an die Gefährlichkeit  die Wahrscheinlichkeit von Schmerz oder die Bedrohung durch jemanden oder etwas verursacht wird"
Großzügigkeit Gier "Seine Großzügigkeit kannte keine Grenzen. Großzügigkeit ist eine Tugend  die sowohl dem Geber als auch dem Empfänger zugutekommt. Ihre Gier nach Macht führte zu unethischen Entscheidungen. Gier kann das Gefühl für Richtig und Falsch trüben. Die Großzügigkeit der Gemeinschaft half denen in Not. ","Die Bereitschaft zu geben oder zu teilen  ohne etwas im Gegenzug zu erwarten ","Ein übermäßiges Verlangen nach Reichtum  Besitz oder materiellem Gewinn auf Kosten anderer"
Vergebung Groll "Sie vergab ihm seine Fehler. Vergebung befreit und heilt die Seele. Die Handlung der Vergebung brachte Abschluss für ihre schmerzhafte Vergangenheit. Trotz der Verletzung entschied sie sich für Vergebung statt Groll. ","Die Handlung des Vergebens oder das Aufhören  Ärger oder Groll gegenüber einem Täter zu empfinden ","Das Gefühl von Bitterkeit oder Empörung aufgrund einer wahrgenommenen Unrecht oder Beleidigung"
Glaube Zweifel "Sie hatte Vertrauen in ihre Fähigkeiten. Glaube kann Berge versetzen und Herausforderungen überwinden. Der unerschütterliche Glaube des Teams führte zu ihrem Erfolg. Er konnte nicht anders  als die Wahrheit der Geschichte zu bezweifeln. Zweifel nagten an den Rändern seines Glaubens. ","Vollstes Vertrauen oder Zuversicht in jemanden oder etwas  besonders ohne Beweise oder Nachweise ","Unsicherheit oder Mangel an Überzeugung über die Wahrheit  Realität oder Zuverlässigkeit von etwas"
Mitgefühl Gleichgültigkeit "Sein Mitgefühl gegenüber Bedürftigen wurde gelobt. Mitgefühl hat die Kraft  Leben zu verändern. Das herzliche Mitgefühl der Freiwilligen berührte viele Herzen. Sie zeigte Gleichgültigkeit gegenüber dem Leiden anderer. Gleichgültigkeit gegenüber den Kämpfen der Mitmenschen ist entmutigend. ","Ein Gefühl von tiefer Sympathie und Trauer über das Leiden oder das Unglück anderer ","Mangelndes Interesse  mangelnde Anteilnahme oder Sympathie für die Gefühle oder Umstände anderer"
Glück Traurigkeit "Die Nachricht brachte der Familie großes Glück. Die Suche nach Glück ist eine universelle Aufgabe. Das Glück in ihren Gesichtern war ansteckend. Ihr Gesicht war nach der Trennung von Traurigkeit erfüllt. Der Umgang mit Traurigkeit ist ein natürlicher Teil des Lebens. Die Traurigkeit in seinen Augen war spürbar. ","Ein Zustand des Seins  der von Gefühlen der Freude  Zufriedenheit oder des Vergnügens geprägt ist ","Ein Zustand des Unglücks  der Trauer oder der Melancholie"
Mut Furcht "Er zeigte Mut angesichts der Gefahr. Mut ist nicht das Fehlen von Angst  sondern die Stärke  ihr ins Auge zu sehen. Ihre Furcht vor Höhen hinderte sie daran  die Leiter zu besteigen. Die Überwindung von Furcht ist ein mutiger Akt. Sein Mut inspirierte andere dazu  für das Richtige einzutreten. ","Die Fähigkeit  Gefahr  Schwierigkeiten oder Schmerz zu meistern  ohne von Furcht überwältigt zu werden ","Eine unangenehme Emotion  die durch die Überzeugung verursacht wird  dass jemand oder etwas gefährlich ist  wahrscheinlich Schmerzen verursacht oder eine Bedrohung darstellt"
Bewunderung Missbilligung "Sie sah ihn mit Bewunderung an. Bewunderung ist eine echte Wertschätzung von jemandes Qualitäten. Die Bewunderung in ihren Augen war offensichtlich. Er äußerte seine Missbilligung gegenüber der neuen Richtlinie. Missbilligung kann ein Katalysator für positive Veränderungen sein. ","Ein Gefühl der Zustimmung  des Respekts oder der hohen Wertschätzung für jemanden oder etwas ","Ein Gefühl der Missbilligung oder Kritik gegenüber jemandem oder etwas"
Dankbarkeit Undankbarkeit "Er drückte seine Dankbarkeit für ihre Hilfe aus. Dankbarkeit ist die beste Einstellung. Das Gefühl der Dankbarkeit erwärmte ihre Herzen. Ihre Undankbarkeit gegenüber ihren Eltern verletzte sie zutiefst. Undankbarkeit blendet uns für die Segnungen um uns herum. ","Ein Gefühl der Dankbarkeit und Wertschätzung für Freundlichkeit oder Gefallen ","Mangelnde Dankbarkeit oder das Versäumnis  Freundlichkeit oder Gefallen zu erkennen und zu schätzen"
Harmonie Konflikt "Ihre Stimmen verschmolzen in perfekter Harmonie. Harmonie ist die Symphonie der Einheit. Die Harmonie unter den Teammitgliedern war bemerkenswert. Er konnte dem Konflikt zwischen seinen Werten und Wünschen nicht entkommen. Die Lösung von Konflikten erfordert offenen Dialog und Empathie. Die Suche nach Frieden erfordert gemeinsame Anstrengungen. ","Der Zustand des friedlichen Zusammenlebens  der Übereinstimmung oder der Eintracht zwischen Individuen oder Gruppen ","Der Zustand der Meinungsverschiedenheit  Opposition oder Feindseligkeit zwischen Individuen oder Gruppen"
Demut Stolz "Ihre Demut war in der Art  wie sie andere behandelte  offensichtlich. Demut ist das Zeichen wahrer Größe. Sein Stolz hinderte ihn daran  seine Fehler zuzugeben. Stolz kann uns gegenüber unseren Schwächen blind machen. Die Demut eines Anführers inspiriert zu Loyalität und Respekt. ","Eine bescheidene oder geringe Ansicht der eigenen Bedeutung oder Stellung; das Gegenteil von Arroganz oder Hochmut ","Ein Gefühl tiefen Vergnügens oder Befriedigung  das aus eigenen Leistungen  Qualitäten oder Besitztümern resultiert"
Weisheit Torheit "Ihre Weisheit leitete sie bei klugen Entscheidungen. Weisheit ist der Kompass des Lebens. Seine Torheit führte oft zu bedauerlichen Entscheidungen. Weisheit kommt aus dem Lernen aus unseren Fehlern. Die Weisheit der Ältesten ist ein Schatz an Lebensweisheiten. ","Die Qualität  Erfahrung  Wissen und Urteilsvermögen; das Gegenteil von Torheit oder Unwissenheit ","Ein Mangel an Urteilsvermögen  gesundem Menschenverstand oder praktischer Intelligenz; das Gegenteil von Weisheit"
Schönheit Hässlichkeit "Die Schönheit des Sonnenuntergangs ließ sie ehrfürchtig zurück. Schönheit kann in den einfachsten Dingen gefunden werden. Die Hässlichkeit des Tatorts war verstörend. Hässlichkeit ist nur oberflächlich; wahre Schönheit liegt im Inneren. Die Schönheit der Natur hat eine beruhigende Wirkung. ","Die Qualität  angenehm oder attraktiv für die Sinne  insbesondere für das Sehen; das Gegenteil von Hässlichkeit oder Unattraktivität ","Die Qualität  unangenehm oder unattraktiv für die Sinne  insbesondere für das Sehen; das Gegenteil von Schönheit oder Attraktivität"
Ehrlichkeit Unaufrichtigkeit "Ihre Ehrlichkeit beim Zugeben ihres Fehlers war lobenswert. Ehrlichkeit ist der Grundstein des Vertrauens. Die Konsequenzen der Unaufrichtigkeit können schwerwiegend sein. Unaufrichtigkeit untergräbt die Grundlage von Beziehungen. Die Ehrlichkeit des Zeugen war für den Fall entscheidend. ","Die Qualität des Wahrheitsgetreu seins  Aufrichtig seins und frei von Täuschung oder Betrug ","Die Handlung des Täuschens  Nichtwahrheitens oder Mangelns an Integrität"
Hoffnungslosigkeit Optimismus "Sie fühlte sich nach wiederholten Misserfolgen hoffnungslos. Selbst in den dunkelsten Zeiten kann die Hoffnungslosigkeit durch einen Hauch von Hoffnung ersetzt werden. Sein Optimismus angesichts von Herausforderungen war inspirierend. Optimismus ist das Licht  das uns durch die dunkelsten Nächte führt. ","Ein Gefühl von völliger Hoffnungslosigkeit  Verlust des Glaubens oder völliger Mangel an Hoffnung ","Eine positive Denkweise  die günstige Ergebnisse erwartet und in jeder Situation nach dem Besten sucht"
Lachen Weinen "Ihr Lachen füllte den Raum mit Freude. Lachen ist ansteckend und heilend. Sie konnte ihr Schluchzen nach der emotionalen Offenbarung nicht kontrollieren. Weinen kann kathartisch sein und unterdrückte Emotionen freisetzen. Lachen ist die beste Medizin  um die Stimmung zu heben. ","Die Handlung  Amüsement  Freude oder Freude durch lautstarke Geräusche auszudrücken ","Die Handlung  Trauer  Traurigkeit oder Verzweiflung durch lautstarke Geräusche auszudrücken  insbesondere durch Weinen"
Einsamkeit Gemeinschaft "Er kämpfte mit Gefühlen der Einsamkeit. Einsamkeit kann durch bedeutungsvolle Verbindungen gemildert werden. Die Gemeinschaft seiner Freunde brachte ihm Trost. Gemeinschaft ist das Gegenmittel zur Einsamkeit. Ihre Einsamkeit war spürbar  selbst in einem überfüllten Raum. ","Der Zustand des Gefühls allein  isoliert oder ohne Begleitung ","Der Zustand des Zusammenseins  der Unterstützung oder der Anwesenheit anderer"
Geduld Ungeduld "Sie wartete geduldig auf ihre Wende. Geduld ist eine Tugend  die Frieden in den Geist bringt. Seine Ungeduld wurde ihm zum Verhängnis  und er ging frustriert weg. Ungeduld kann zu hastigen Entscheidungen und Bedauern führen. Geduld ist der Schlüssel zur Erreichung langfristiger Ziele. ","Die Fähigkeit  das Warten  die Verzögerung oder die Provokation zu ertragen  ohne sich zu ärgern oder ängstlich zu sein ","Das Fehlen der Fähigkeit  das Warten  die Verzögerung oder die Provokation zu ertragen; Rastlosigkeit oder Eile  dass etwas schnell passieren soll"
Frieden Konflikt "Sie suchten Frieden inmitten des Krieges. Frieden ist der Weg zum Fortschritt. Der Konflikt zwischen den beiden Parteien eskalierte in Gewalt. Die Lösung von Konflikten erfordert offenen Dialog und Empathie. Die Suche nach Frieden erfordert gemeinsame Anstrengungen. ","Der Zustand der Freiheit von Krieg  Gewalt oder Feindseligkeit ","Der Zustand der Meinungsverschiedenheit  der Opposition oder der Feindseligkeit zwischen Individuen oder Gruppen"
Stärke Schwäche "Er zeigte große körperliche Stärke. Stärke kommt vom konsequenten Annehmen von Herausforderungen. Ihre Schwäche angesichts von Widerstand überraschte sie. Schwäche kann ein Schritt auf dem Weg zum Wachstum und zur Verbesserung sein. Die Stärke ihrer Freundschaft trug sie durch schwierige Zeiten. ","Die Qualität oder der Zustand  körperlich stark oder mental belastbar zu sein; das Gegenteil von Schwäche oder Zerbrechlichkeit ","Die Qualität oder der Zustand des Mangels an körperlicher Stärke  Belastbarkeit oder Kapazität; das Gegenteil von Stärke"
Zärtlichkeit Kälte "Er berührte ihre Wange mit Zärtlichkeit. Zärtlichkeit ist die Sprache der Liebe. Die Kälte seiner Reaktion verletzte sie zutiefst. Kälte kann emotionale Distanz zu anderen schaffen. Die Zärtlichkeit in seiner Stimme schmolz ihr Herz. ","Ein Gefühl von Sanftheit  Zuneigung oder Wärme gegenüber jemandem oder etwas ","Ein Mangel an Gefühl oder emotionaler Wärme; eine distanzierte oder gleichgültige Haltung gegenüber jemandem oder etwas"
