antonym_1,antonym_2,example_antonym_1,example_antonym_2,def1,def2
positiv,negativ,Er hatte eine positive Lebenseinstellung.,Sie äußerte eine negative Meinung über den Vorschlag.,Ausdruck von Zustimmung Wohlwollen oder Zuversicht; zeigt eine günstige Haltung oder Perspektive,Ausdruck von Missbilligung Unzufriedenheit oder Pessimismus; zeigt eine ungünstige Haltung oder Perspektive
Freude,Trauer,Die Freude in seinem Gesicht war offensichtlich.,Sie konnte ihre Trauer nach dem Verlust nicht verbergen.,Ein Gefühl von großer Freude Glück oder Freude; eine Emotion die mit positiven Erfahrungen verbunden ist,Ein Gefühl von tiefer Not Traurigkeit oder Trauer; eine Emotion die mit negativen Erfahrungen verbunden ist
Liebe,Hass,Sie waren tief verliebt.,Er konnte seinen Hass gegenüber seinem Rivalen nicht verbergen.,Ein intensives Gefühl von Zuneigung Fürsorge und Bindung zu jemandem oder etwas,Ein starkes Gefühl von Feindseligkeit Abneigung oder intensiver Abneigung gegenüber jemandem oder etwas
Hoffnung,Verzweiflung,Sie klammerte sich in schwierigen Zeiten an die Hoffnung.,Er fühlte eine Art Verzweiflung nach dem Scheitern.,Ein Gefühl von Optimismus und Erwartung auf ein positives Ergebnis oder zukünftiges Ereignis,Ein Gefühl von völliger Hoffnungslosigkeit Glaubensverlust oder völligem Mangel an Hoffnung
Vertrauen,Zweifel,Er sprach selbstbewusst während der Präsentation.,Sie zweifelte an ihrer Fähigkeit die Aufgabe zu erfüllen.,Ein Glaube an die eigenen Fähigkeiten oder die Fähigkeiten von jemand anderem Sicherheit oder Selbstsicherheit,Ein Mangel an Gewissheit Misstrauen oder Skepsis gegenüber einer Person einer Situation oder einem Ergebnis
Vergnügen,Schmerz,Das Essen bereitete ihm großes Vergnügen.,Er zuckte vor Schmerzen zusammen als er sich den Zeh stieß.,Ein Gefühl der Freude Zufriedenheit oder Freude das aus positiven Erfahrungen abgeleitet ist,Eine physische oder emotionale Empfindung von Unbehagen Leiden oder Unannehmlichkeiten
Optimismus,Pessimismus,Trotz der Herausforderungen blieb sie optimistisch.,Sein Pessimismus führte oft zu negativen Ergebnissen.,Eine positive Denkweise die günstige Ergebnisse erwartet und nach dem Besten in jeder Situation sucht,Eine negative Denkweise die ungünstige Ergebnisse erwartet und sich auf die schlechtesten Aspekte einer Situation konzentriert
Aufregung,Apathie,Er konnte seine Aufregung über die Reise nicht zurückhalten.,Sie fühlte eine gewisse Apathie gegenüber der Veranstaltung.,Ein Gefühl von Begeisterung Eifer oder intensivem Interesse an etwas,Ein Mangel an Interesse Enthusiasmus oder Besorgnis; ein Gefühl der Gleichgültigkeit oder Desinteresse
Freundlichkeit,Grausamkeit,Ihre Freundlichkeit gegenüber anderen wurde bewundert.,Er war für seine Grausamkeit gegenüber Tieren bekannt.,Zeigen von Wohlwollen Mitgefühl oder Wohlwollen gegenüber anderen,Zeigen von Gleichgültigkeit Bosheit oder Bereitschaft anderen Schaden zuzufügen
Mut,Angst,Er zeigte Mut angesichts der Gefahr.,Ihre Höhenangst hinderte sie daran die Leiter zu erklimmen.,Die Fähigkeit Gefahr Schwierigkeiten oder Schmerzen zu bewältigen ohne von Angst überwältigt zu werden,Eine unangenehme Emotion die durch den Glauben verursacht wird dass jemand oder etwas gefährlich ist wahrscheinlich Schmerzen verursacht oder eine Bedrohung darstellt
Großzügigkeit,Gier,Seine Großzügigkeit kannte keine Grenzen.,Ihre Gier nach Macht führte zu unethischen Entscheidungen.,Eine Bereitschaft zu geben oder zu teilen ohne etwas im Gegenzug zu erwarten,Ein übermäßiges Verlangen nach Reichtum Besitztümern oder materiellem Gewinn auf Kosten anderer
Vergebung,Ressentiment,Sie vergab ihm seine Fehler.,Er hegte tiefes Ressentiment gegenüber seinem ehemaligen Freund.,Der Akt des Vergebens oder des Aufhörens Wut oder Ressentiments gegenüber einem Übeltäter zu empfinden,Das Gefühl der Verbitterung oder Empörung aufgrund einer wahrgenommenen Ungerechtigkeit oder Beleidigung
Glaube,Zweifel,Sie hatte Vertrauen in ihre Fähigkeiten.,Er konnte jedoch nicht den Wahrheitsgehalt der Geschichte bezweifeln.,Vollstes Vertrauen oder Zuversicht in jemanden oder etwas insbesondere ohne Beweise oder Nachweise,Unsicherheit oder Mangel an Überzeugung hinsichtlich der Wahrheit Realität oder Zuverlässigkeit von etwas
Mitgefühl,Gleichgültigkeit,Sein Mitgefühl gegenüber Bedürftigen wurde gelobt.,Sie zeigte Gleichgültigkeit gegenüber dem Leiden anderer.,Ein Gefühl tiefer Sympathie und Trauer über das Leiden oder das Unglück anderer,Ein Mangel an Interesse Sorge oder Mitgefühl für die Gefühle oder Umstände anderer
Glück,Traurigkeit,Die Nachricht brachte der Familie großes Glück.,Ihr Gesicht war nach der Trennung von Traurigkeit erfüllt.,Ein Zustand der von Gefühlen der Freude Zufriedenheit oder Freude gekennzeichnet ist,Ein Zustand von Unzufriedenheit Traurigkeit oder Melancholie
Tapferkeit,Feigheit,Er zeigte Tapferkeit angesichts der Gefahr.,Ihre Feigheit hinderte sie daran sich dem Schläger zu stellen.,Die Qualität mutig oder mutig angesichts von Gefahr oder Widrigkeiten zu sein,Der Mangel an Mut sich der Gefahr Schwierigkeiten oder Schmerzen zu stellen; Furchtsamkeit
Vertrauen,Unsicherheit,Er strahlte Selbstvertrauen während des Interviews aus.,Sie kämpfte mit Gefühlen der Unsicherheit über ihr Aussehen.,Ein Gefühl von Selbstsicherheit Selbstständigkeit oder Glauben an die eigenen Fähigkeiten,Ein Mangel an Vertrauen oder Sicherheit; Unsicherheit über sich selbst oder die eigenen Fähigkeiten
Freiheit,Gefangenschaft,Sie kämpften für die Freiheit vor Unterdrückung.,Er fühlte sich in seiner monotonen Routine gefangen.,Der Zustand frei von Zwang Einschränkung oder Gefangenschaft zu sein; die Fähigkeit ohne Hindernisse oder Einschränkungen zu handeln oder zu sprechen,Der Zustand eingesperrt oder gefangen zu sein insbesondere in einem Gefängnis oder einer restriktiven Situation
Sieg,Niederlage,Ihr Sieg im Turnier war wohlverdient.,Er fühlte sich nach dem Scheitern geschlagen.,Die Handlung des Gewinnens oder Triumphierens in einem Wettbewerb Konflikt oder Wettkampf; das Gegenteil von Niederlage oder Verlust,Die Handlung in einem Wettbewerb Konflikt oder Wettkampf besiegt oder überwältigt zu werden; das Gegenteil von Sieg oder Erfolg
Zufriedenheit,Unzufriedenheit,Er drückte Zufriedenheit mit dem Ergebnis des Projekts aus.,Ihr ständiges Klagen zeigte ihre Unzufriedenheit mit der aktuellen Situation.,Ein Gefühl der Erfüllung oder Zufriedenheit mit den eigenen Leistungen Umständen oder Erfahrungen,Ein Gefühl der Unzufriedenheit des Unglücks oder der Unzufriedenheit mit der aktuellen Situation oder den Umständen
Verwirrung,Klarheit,Die Anweisungen waren unklar und führten zu Verwirrung.,Sie schaffte Klarheit zu dem komplexen Thema.,Ein Zustand des Verwirrtseins der Unsicherheit oder der Unklarheit über etwas,Ein Zustand des Klarseins der Verständlichkeit oder der leicht verständlichen; das Gegenteil von Verwirrung oder Mehrdeutigkeit
Freundschaft,Feindschaft,Ihre Freundschaft hatte jahrelang Bestand.,Er hegte Feindschaft gegenüber seinem Rivalen.,Eine Bindung gegenseitiger Zuneigung Vertrauen und Unterstützung zwischen Individuen oder Gruppen,Ein Gefühl der Feindseligkeit des Hasses oder des Widerstands gegenüber jemandem oder etwas
Gerechtigkeit,Ungerechtigkeit,Das Urteil des Gerichts gewährleistete Gerechtigkeit für das Opfer.,Er sah das Urteil als Ungerechtigkeit an.,Fairness und Unparteilichkeit in der Behandlung anderer oder in der Verteilung von Ressourcen oder Möglichkeiten,Der Mangel an Fairness Gerechtigkeit oder Einhaltung von Prinzipien des Rechts oder der Moral
Treue,Verrat,Ihre Treue zu ihrem Partner war unerschütterlich.,Er fühlte sich von seinem engsten Freund verraten.,Die Qualität loyal zuverlässig und standhaft in seinen Verpflichtungen oder Versprechen zu sein,Der Akt des Brechens von Vertrauen oder Zuversicht indem man unloyal oder untreu ist
Mut,Schüchternheit,Sie konfrontierte ihre Ängste mit Mut.,Seine Schüchternheit hinderte ihn daran sich zu äußern.,Die Fähigkeit Gefahr Schwierigkeiten oder Schmerzen zu bewältigen ohne von Angst überwältigt zu werden,Der Mangel an Mut Gefahr Schwierigkeiten oder Schmerzen zu bewältigen; Furchtsamkeit
Bewunderung,Missbilligung,Sie betrachtete ihn mit Bewunderung.,Er äußerte seine Missbilligung der neuen Politik.,Ein Gefühl der Zustimmung des Respekts oder der hohen Achtung für jemanden oder etwas,Ein Gefühl der Missbilligung oder Kritik gegenüber jemandem oder etwas
Dankbarkeit,Undankbarkeit,Er drückte seine Dankbarkeit für ihre Hilfe aus.,Ihre Undankbarkeit gegenüber ihren Eltern verletzte sie zutiefst.,Ein Gefühl der Dankbarkeit und Wertschätzung für Freundlichkeiten oder erhaltene Gefälligkeiten,Ein Mangel an Dankbarkeit oder das Versäumnis Freundlichkeiten oder Gefälligkeiten zu erkennen und zu schätzen
Harmonie,Konflikt,Ihre Stimmen vermischten sich in perfekter Harmonie.,Er konnte dem Konflikt zwischen seinen Werten und Wünschen nicht entkommen.,Der Zustand des friedlichen Zusammenlebens der Übereinkunft oder des Einvernehmens zwischen Individuen oder Gruppen,Der Zustand der Uneinigkeit der Opposition oder der Feindseligkeit zwischen Individuen oder Gruppen
Demut,Stolz,Ihre Demut war in der Art und Weise wie sie andere behandelte offensichtlich.,Sein Stolz hinderte ihn daran seine Fehler zuzugeben.,Eine bescheidene oder geringe Meinung von der eigenen Bedeutung oder Stellung; das Gegenteil von Arroganz oder Einbildung,Ein Gefühl tiefer Freude oder Zufriedenheit das aus den eigenen Leistungen Qualitäten oder Besitztümern resultiert
Weisheit,Torheit,Ihre Weisheit führte sie zu klugen Entscheidungen.,Seine Torheit führte oft zu bedauerlichen Entscheidungen.,Die Qualität Erfahrung Wissen und Urteilsvermögen zu haben; das Gegenteil von Torheit oder Unwissenheit,Ein Mangel an gutem Urteilsvermögen gesundem Menschenverstand oder praktischer Intelligenz; das Gegenteil von Weisheit
Schönheit,Hässlichkeit,Die Schönheit des Sonnenuntergangs versetzte sie in Erstaunen.,Er war entsetzt über die Hässlichkeit der Graffiti.,Die Qualität die für die Sinne insbesondere für den Anblick angenehm oder attraktiv ist; das Gegenteil von Hässlichkeit oder Unattraktivität,Die Qualität die für die Sinne insbesondere für den Anblick unangenehm oder unattraktiv ist; das Gegenteil von Schönheit
Ehrlichkeit,Unehrlichkeit,Ihre Ehrlichkeit ihren Fehler zuzugeben war lobenswert.,Seine Unehrlichkeit führte zu einem Vertrauensbruch in der Beziehung.,Die Qualität wahrhaftig aufrichtig und frei von Täuschung oder Betrug zu sein,Die Handlung täuschend unehrlich oder mangelnd an Integrität zu sein
Hoffnungslosigkeit,Optimismus,Sie fühlte sich nach wiederholten Misserfolgen hoffnungslos.,Sein Optimismus angesichts der Herausforderungen war inspirierend.,Ein Gefühl von völliger Hoffnungslosigkeit Glaubensverlust oder völligem Mangel an Hoffnung,Eine positive Denkweise die günstige Ergebnisse erwartet und nach dem Besten in jeder Situation sucht
Lachen,Schluchzen,Ihr Lachen füllte den Raum mit Freude.,Sie konnte ihr Schluchzen nach der emotionalen Enthüllung nicht kontrollieren.,Der Akt des Ausdrucks von Amüsement Freude oder Glück durch stimmliche Geräusche,Der Akt des Ausdrucks von Trauer Traurigkeit oder Distress durch stimmliche Geräusche insbesondere beim Weinen
Einsamkeit,Gesellschaft,Er kämpfte mit Gefühlen der Einsamkeit.,Die Gesellschaft seiner Freunde gab ihm Trost.,Der Zustand sich allein isoliert oder ohne Begleitung zu fühlen,Der Zustand die Gesellschaft Unterstützung oder Anwesenheit von anderen zu haben
Geduld,Ungeduld,Sie wartete geduldig auf ihre Reihe.,Seine Ungeduld wurde ihm zum Verhängnis und er ging frustriert.,Die Fähigkeit aufs Warten auf Verzögerung oder auf Provokation ohne Ärger oder Angst zu bestehen,Der Mangel an Fähigkeit aufs Warten auf Verzögerung oder auf Provokation zu bestehen; Unruhe oder Drängen dass etwas schnell passieren soll
Frieden,Konflikt,Sie suchten Frieden inmitten des Krieges.,Der Konflikt zwischen den beiden Parteien eskalierte zu Gewalt.,Der Zustand der Freiheit von Krieg Gewalt oder Feindseligkeit,Der Zustand der Uneinigkeit der Opposition oder der Feindseligkeit zwischen Individuen oder Gruppen
Stärke,Schwäche,Er zeigte große körperliche Stärke.,Ihre Schwäche angesichts von Widrigkeiten überraschte sie.,Die Qualität oder der Zustand körperlich stark oder mental belastbar zu sein; das Gegenteil von Schwäche oder Zerbrechlichkeit,Die Qualität oder der Zustand des Mangels an körperlicher Stärke Belastbarkeit oder Kapazität; das Gegenteil von Stärke
Zärtlichkeit,Kälte,Er berührte ihre Wange mit Zärtlichkeit.,Die Kälte seiner Reaktion verletzte sie zutiefst.,Ein Gefühl von Sanftheit Zuneigung oder Wärme gegenüber jemandem oder etwas,Ein Mangel an Gefühl oder emotionaler Wärme; eine distanzierte oder gleichgültige Haltung gegenüber jemandem oder etwas
Vertrauen,Misstrauen,Sie setzte ihr Vertrauen in ihren engsten Freund.,Er konnte seinem neuen Kollegen nicht anders als misstrauen.,Die Zuversicht oder das Vertrauen in die Integrität die Fähigkeit oder den Charakter von jemandem oder etwas,Der Mangel an Zuversicht Misstrauen oder Skepsis gegenüber der Integrität der Fähigkeit oder dem Charakter von jemandem oder etwas
Zufriedenheit,Unruhe,Er fühlte Zufriedenheit in seinem einfachen Leben.,Sie konnte die Unruhe in ihrem Herzen nicht abschütteln.,Ein Gefühl der Zufriedenheit des Glücks oder der Leichtigkeit mit der aktuellen Situation oder den Umständen,Ein Gefühl der Unzufriedenheit oder der Unruhe mit der aktuellen Situation oder den Umständen
